matrikelnummer,name,email,zugeordnet_gruppe,zugeordnet_klinik_id,zugeordnet_klinik_name,zugeordnet_stadt,ist_giessen,met_gruppe_prio,met_klinik_prio
500001,Studierende 1,stud1@uni.de,A,1,Klinik Gießen 1,Gießen,true,1,1
500002,Studierende 2,stud2@uni.de,C,1,Klinik Gießen 1,Gießen,true,1,1
500003,Studierende 3,stud3@uni.de,D,1,Klinik Gießen 1,Gießen,true,1,1
500004,Studierende 4,stud4@uni.de,B,1,Klinik Gießen 1,Gießen,true,1,1
500005,Studierende 5,stud5@uni.de,C,2,Klinik Gießen 2,Gießen,true,1,2
500006,Studierende 6,stud6@uni.de,D,2,Klinik Gießen 2,Gießen,true,1,2
500007,Studierende 7,stud7@uni.de,B,1,Klinik Gießen 1,Gießen,true,1,1
500008,Studierende 8,stud8@uni.de,B,2,Klinik Gießen 2,Gießen,true,1,2
500009,Studierende 9,stud9@uni.de,D,5,Klinik Berlin 1,Berlin,false,1,3
500010,Studierende 10,stud10@uni.de,D,3,Klinik Frankfurt 1,Frankfurt,false,1,3
500011,Studierende 11,stud11@uni.de,B,3,Klinik Frankfurt 1,Frankfurt,false,1,3
500012,Studierende 12,stud12@uni.de,C,3,Klinik Frankfurt 1,Frankfurt,false,none,3
500013,Studierende 13,stud13@uni.de,C,4,Klinik München 1,München,false,1,2
500014,Studierende 14,stud14@uni.de,B,5,Klinik Berlin 1,Berlin,false,1,3
500015,Studierende 15,stud15@uni.de,C,5,Klinik Berlin 1,Berlin,false,1,2
500016,Studierende 16,stud16@uni.de,A,1,Klinik Gießen 1,Gießen,true,1,1
500017,Studierende 17,stud17@uni.de,A,2,Klinik Gießen 2,Gießen,true,1,2
500018,Studierende 18,stud18@uni.de,A,5,Klinik Berlin 1,Berlin,false,2,2
500019,Studierende 19,stud19@uni.de,D,4,Klinik München 1,München,false,2,2
500020,Studierende 20,stud20@uni.de,A,3,Klinik Frankfurt 1,Frankfurt,false,1,2
