matrikelnummer,name,email,gruppe_prio1,gruppe_prio2,klinik_prio1,klinik_prio2,klinik_prio3
500001,Studierende 1,stud1@uni.de,A,B,1,2,4
500002,Studierende 2,stud2@uni.de,C,B,1,2,5
500003,Studierende 3,stud3@uni.de,D,C,1,2,3
500004,Studierende 4,stud4@uni.de,B,C,1,2,4
500005,Studierende 5,stud5@uni.de,C,B,1,2,3
500006,Studierende 6,stud6@uni.de,D,C,1,2,4
500007,Studierende 7,stud7@uni.de,B,D,1,2,4
500008,Studierende 8,stud8@uni.de,B,A,1,2,3
500009,Studierende 9,stud9@uni.de,D,B,1,2,5
500010,Studierende 10,stud10@uni.de,D,C,1,2,3
500011,Studierende 11,stud11@uni.de,B,A,1,2,3
500012,Studierende 12,stud12@uni.de,B,A,1,2,3
500013,Studierende 13,stud13@uni.de,C,B,1,4,1
500014,Studierende 14,stud14@uni.de,B,D,1,1,5
500015,Studierende 15,stud15@uni.de,C,B,1,5,3
500016,Studierende 16,stud16@uni.de,A,B,1,1,3
500017,Studierende 17,stud17@uni.de,A,B,1,2,3
500018,Studierende 18,stud18@uni.de,C,A,1,5,1
500019,Studierende 19,stud19@uni.de,C,D,1,4,5
500020,Studierende 20,stud20@uni.de,A,B,1,3,4
